"Species","Census year","Census interval","AGB","AWP","AWM","BA","BAP","BAM","N","N10"
"Andira inermis",1995,"1995 - 2000","0.103 (0.076-0.133)","0.00171 (0.000882-0.00304)","0.0015 (0.000581-0.0028)","0.0185 (0.015-0.0229)","0.000295 (0.000188-0.00044)","0.000325 (0.000159-0.000546)","5.76 (5.48-6.08)","0.52 (0.52-0.52)"
"Andira inermis",2000,"2000 - 2005","0.105 (0.0765-0.139)","0.00192 (0.000975-0.00343)","0.00112 (8.43e-05-0.00313)","0.0184 (0.0144-0.0226)","0.000293 (0.000187-0.000451)","0.000192 (3.88e-05-0.000436)","5.62 (5.38-5.86)","0.54 (0.54-0.54)"
"Andira inermis",2005,"2005 - 2010","0.108 (0.0779-0.149)","0.00195 (0.00101-0.00362)","0.00133 (0.000255-0.0029)","0.0189 (0.0148-0.0237)","0.000316 (0.000212-0.000462)","0.000261 (9.14e-05-0.000524)","5.4 (5.16-5.66)","0.62 (0.62-0.62)"
"Andira inermis",2010,"2010 - 2015","0.112 (0.0783-0.153)","0.0016 (0.000666-0.00294)","0.00114 (0.000459-0.0021)","0.0192 (0.0147-0.024)","0.000282 (0.000185-0.000408)","0.000249 (0.000113-0.000419)","4.98 (4.76-5.22)","0.62 (0.62-0.62)"
"Andira inermis",2015,"1980 - 1985","0.114 (0.078-0.159)",NA,NA,"0.0193 (0.0149-0.0243)",NA,NA,"4.96 (4.78-5.18)","0.66 (0.66-0.66)"
"Annona acuminata",1985,"1985 - 1990","0.0137 (0.0111-0.0171)","0.00195 (0.00146-0.00261)","0.00125 (0.000891-0.00164)","0.00578 (0.00478-0.00688)","0.000825 (0.000638-0.00106)","0.000539 (0.000412-0.000675)","10.4 (9.58-11.3)",NA
"Annona acuminata",1990,"1990 - 1995","0.0182 (0.0144-0.0225)","0.00165 (0.00118-0.00217)","0.00184 (0.00135-0.00238)","0.00767 (0.00639-0.00928)","0.000742 (0.000559-0.000964)","0.000796 (0.000611-0.00102)","11.1 (10.1-12.2)",NA
"Annona acuminata",1995,"1995 - 2000","0.0173 (0.0139-0.0214)","0.00147 (0.00104-0.00196)","0.00163 (0.0012-0.00213)","0.00743 (0.00616-0.00896)","0.000652 (0.000475-0.000871)","0.000728 (0.000544-0.000941)","10.4 (9.4-11.6)",NA
"Annona acuminata",2000,"2000 - 2005","0.0165 (0.0126-0.0213)","0.00142 (0.000907-0.0021)","0.00149 (0.00113-0.00189)","0.00703 (0.00572-0.00861)","0.000619 (0.000443-0.000865)","0.000668 (0.000517-0.000851)","9.7 (8.76-10.7)",NA
"Annona acuminata",2005,"2005 - 2010","0.0161 (0.0119-0.0214)","0.00136 (0.000995-0.00186)","0.00163 (0.0011-0.00226)","0.00679 (0.00528-0.00878)","0.000625 (0.000472-0.000823)","0.000692 (0.000505-0.00093)","9.5 (8.34-10.8)","0.02 (0.02-0.02)"
"Annona acuminata",2010,"2010 - 2015","0.0148 (0.0112-0.0202)","0.00049 (0.000366-0.000647)","0.001 (0.000641-0.0015)","0.00648 (0.00517-0.00847)","0.000243 (0.000186-0.00031)","0.000435 (0.000304-0.000615)","9.66 (8.5-11.1)",NA
"Annona acuminata",2015,"1980 - 1985","0.0121 (0.00935-0.0155)",NA,NA,"0.00548 (0.00449-0.00675)",NA,NA,"9.84 (8.68-11.2)",NA
"Annona hayesii",1985,"1985 - 1990","0.000487 (0.000487-0.000487)","6.04e-05 (6.04e-05-6.04e-05)","9.28e-05 (9.28e-05-9.28e-05)","0.000138 (0.000138-0.000138)","1.88e-05 (1.88e-05-1.88e-05)","2.62e-05 (2.62e-05-2.62e-05)","0.02 (0.02-0.02)",NA
"Annona hayesii",1990,"1990 - 1995","0.000317 (0.000317-0.000317)","3.16e-06 (3.16e-06-3.16e-06)","0 (0-0)","9.85e-05 (9.85e-05-9.85e-05)","6.25e-07 (6.25e-07-6.25e-07)","0 (0-0)","0.02 (0.02-0.02)",NA
"Annona hayesii",1995,"1980 - 1985","0.000333 (0.000333-0.000333)",NA,"6.77e-05 (6.77e-05-6.77e-05)","0.000102 (0.000102-0.000102)",NA,"2.07e-05 (2.07e-05-2.07e-05)","0.02 (0.02-0.02)",NA
"Annona spraguei",1985,"1985 - 1990","0.0652 (0.0306-0.107)","0.00554 (0.00347-0.00816)","0.00149 (7.84e-05-0.00415)","0.0104 (0.00588-0.0163)","0.000958 (7e-04-0.00128)","0.000247 (3.61e-05-0.000633)","1.42 (1.26-1.6)","0.34 (0.32-0.38)"
"Annona spraguei",1990,"1990 - 1995","0.085 (0.0442-0.139)","0.00604 (0.00402-0.00854)","0.000372 (0.000174-0.000594)","0.0139 (0.00839-0.0211)","0.00105 (0.000761-0.0014)","0.000129 (7.12e-05-2e-04)","2.84 (2.4-3.36)","0.44 (0.42-0.48)"
"Annona spraguei",1995,"1995 - 2000","0.113 (0.0622-0.172)","0.00445 (0.00256-0.0067)","0.00297 (0.00165-0.00482)","0.0185 (0.0122-0.0259)","0.000749 (0.000505-0.00103)","0.000707 (0.00044-0.00102)","3.48 (3.06-4.04)","0.54 (0.52-0.6)"
"Annona spraguei",2000,"2000 - 2005","0.121 (0.0692-0.178)","0.00303 (0.00148-0.00534)","0.0117 (0.00461-0.0221)","0.0187 (0.0124-0.0266)","0.000535 (0.000333-0.000785)","0.00181 (0.000891-0.00295)","2.64 (2.36-2.94)","0.46 (0.44-0.5)"
"Annona spraguei",2005,"2005 - 2010","0.0769 (0.0388-0.127)","0.00286 (0.00148-0.00454)","0.00665 (0.00211-0.0139)","0.0122 (0.00685-0.0183)","0.000606 (0.000379-0.000883)","0.00114 (0.000462-0.00224)","2.44 (2.14-2.78)","0.34 (0.3-0.4)"
"Annona spraguei",2010,"2010 - 2015","0.0584 (0.027-0.101)","0.00198 (0.000807-0.00356)","0.00785 (0.00275-0.0144)","0.00964 (0.00529-0.0157)","0.000379 (0.000195-0.000614)","0.00127 (0.000575-0.00215)","2.94 (2.6-3.36)","0.18 (0.18-0.18)"
"Annona spraguei",2015,"1980 - 1985","0.028 (0.011-0.0516)",NA,NA,"0.00501 (0.00267-0.00832)",NA,NA,"1.68 (1.42-2.08)","0.18 (0.16-0.22)"
"Apeiba hybrid",1985,"1980 - 1985","0.0135 (0.0135-0.0135)",NA,"0.00252 (0.00252-0.00252)","0.00293 (0.00293-0.00293)",NA,"0.000547 (0.000547-0.000547)","0.02 (0.02-0.02)","0.02 (0.02-0.02)"
"Apeiba membranacea",1985,"1985 - 1990","3.37 (2.7-4.11)","0.067 (0.0521-0.0818)","0.0532 (0.0135-0.103)","0.664 (0.553-0.787)","0.0128 (0.0103-0.0155)","0.0101 (0.00313-0.0189)","6.86 (6.56-7.22)","4.52 (4.38-4.68)"
"Apeiba membranacea",1990,"1990 - 1995","3.28 (2.66-3.95)","0.0652 (0.0384-0.0944)","0.0617 (0.0286-0.106)","0.651 (0.537-0.774)","0.0131 (0.00838-0.0194)","0.0128 (0.00654-0.0199)","6.66 (6.32-7)","4.72 (4.56-4.9)"
"Apeiba membranacea",1995,"1995 - 2000","3.11 (2.54-3.77)","0.0663 (0.0473-0.0916)","0.0433 (0.018-0.0776)","0.622 (0.528-0.729)","0.0126 (0.00917-0.0168)","0.0093 (0.00417-0.0156)","6 (5.72-6.3)","4.76 (4.58-4.96)"
"Apeiba membranacea",2000,"2000 - 2005","3.29 (2.69-3.98)","0.0602 (0.0418-0.0835)","0.111 (0.0515-0.186)","0.648 (0.537-0.764)","0.0114 (0.00829-0.0159)","0.021 (0.01-0.0342)","5.48 (5.26-5.74)","4.46 (4.3-4.64)"
"Apeiba membranacea",2005,"2005 - 2010","3 (2.46-3.59)","0.0547 (0.0421-0.0682)","0.0331 (0.0136-0.0598)","0.594 (0.493-0.71)","0.0104 (0.00842-0.0127)","0.00723 (0.00333-0.0127)","5.86 (5.46-6.38)","4.1 (3.94-4.3)"
"Apeiba membranacea",2010,"2010 - 2015","3.15 (2.5-3.83)","0.0573 (0.041-0.0801)","0.0881 (0.0319-0.154)","0.617 (0.511-0.734)","0.0105 (0.00787-0.014)","0.0171 (0.00816-0.0294)","6.24 (5.86-6.64)","3.94 (3.78-4.14)"
"Apeiba membranacea",2015,"1980 - 1985","3.05 (2.43-3.79)",NA,NA,"0.59 (0.477-0.716)",NA,NA,"5.34 (5.08-5.66)","3.6 (3.48-3.74)"
"Apeiba tibourbou",1985,"1985 - 1990","0.0641 (0.036-0.0956)","0.00267 (0.00149-0.00398)","0.00594 (0.00151-0.0112)","0.023 (0.0132-0.0331)","0.000996 (0.000607-0.00146)","0.002 (0.000595-0.00372)","0.78 (0.74-0.84)","0.46 (0.42-0.52)"
"Apeiba tibourbou",1990,"1990 - 1995","0.0463 (0.0261-0.0708)","0.00254 (0.00136-0.00374)","0.00111 (5.62e-06-0.0032)","0.0175 (0.011-0.0252)","0.000845 (0.000509-0.00124)","0.000403 (7.19e-06-0.00112)","0.64 (0.62-0.68)","0.42 (0.4-0.46)"
"Apeiba tibourbou",1995,"1995 - 2000","0.0537 (0.0339-0.0782)","0.00157 (0.000575-0.00302)","0.00171 (1.86e-05-0.00479)","0.0198 (0.0128-0.0281)","0.000499 (0.000205-0.000913)","0.000603 (1.35e-05-0.00145)","0.58 (0.54-0.64)","0.42 (0.4-0.46)"
"Apeiba tibourbou",2000,"2000 - 2005","0.053 (0.0279-0.0813)","0.00134 (0.000665-0.00221)","0.00188 (0.000123-0.0041)","0.0193 (0.0113-0.0277)","0.000478 (0.000258-0.00071)","0.000704 (7.3e-05-0.00157)","0.58 (0.56-0.62)","0.4 (0.38-0.44)"
"Apeiba tibourbou",2005,"2005 - 2010","0.0502 (0.0263-0.0787)","0.00153 (0.000873-0.00229)","0.00186 (0.000101-0.0047)","0.0181 (0.0104-0.0276)","0.000667 (0.000425-0.000972)","0.000685 (6.21e-05-0.00161)","0.74 (0.74-0.74)","0.32 (0.32-0.32)"
"Apeiba tibourbou",2010,"2010 - 2015","0.0476 (0.0249-0.0752)","0.00223 (0.00127-0.00362)","0.00357 (0.000234-0.00802)","0.0178 (0.0105-0.0265)","0.000893 (0.000553-0.00132)","0.00122 (0.000142-0.0028)","1.02 (0.88-1.2)","0.36 (0.34-0.4)"
"Apeiba tibourbou",2015,"1980 - 1985","0.0406 (0.0229-0.0594)",NA,NA,"0.016 (0.00994-0.0234)",NA,NA,"0.9 (0.78-1.06)","0.42 (0.4-0.46)"
"Aphelandra sinclairiana",1985,"1985 - 1990","0.000326 (0.000119-0.000552)","5.5e-05 (6.9e-06-0.000116)","4.99e-05 (1.41e-05-9.28e-05)","0.000116 (4.79e-05-0.000189)","1.71e-05 (3.45e-06-3.56e-05)","1.75e-05 (6.25e-06-2.94e-05)","0.2 (0.14-0.28)",NA
"Aphelandra sinclairiana",1990,"1990 - 1995","0.000361 (5.58e-05-0.000805)","2.82e-05 (9.76e-06-4.65e-05)","3.69e-05 (8.74e-07-0.000105)","0.000117 (2.88e-05-0.000227)","9.8e-06 (3.61e-06-1.7e-05)","1.25e-05 (5.41e-07-3.45e-05)","0.14 (0.12-0.18)",NA
"Aphelandra sinclairiana",1995,"1995 - 2000","0.000323 (8.66e-05-0.000721)","3.66e-05 (1.14e-05-6.18e-05)","4.89e-05 (0-0.000127)","0.000105 (3.25e-05-0.000197)","1.21e-05 (4.58e-06-1.93e-05)","1.46e-05 (8.07e-07-3.73e-05)","0.14 (0.14-0.14)",NA
"Aphelandra sinclairiana",2000,"2000 - 2005","0.000261 (5.45e-05-0.000486)","4.31e-05 (1.33e-05-8.16e-05)","8.83e-06 (0-2.31e-05)","9.22e-05 (2.63e-05-0.000163)","1.38e-05 (5.2e-06-2.51e-05)","4.89e-06 (0-1.22e-05)","0.12 (0.1-0.16)",NA
"Aphelandra sinclairiana",2005,"2005 - 2010","0.000433 (0.000123-0.000785)","4.08e-05 (1.05e-05-7.52e-05)","5.47e-05 (3.43e-06-0.000125)","0.000137 (4.87e-05-0.00023)","1.45e-05 (6.18e-06-2.62e-05)","1.73e-05 (2.07e-06-3.59e-05)","0.16 (0.16-0.16)",NA
"Aphelandra sinclairiana",2010,"2010 - 2015","0.000363 (8.98e-05-0.000671)","2.73e-05 (1.38e-05-4.21e-05)","8.68e-07 (0-2.6e-06)","0.000123 (4.44e-05-0.000219)","8.81e-06 (5.54e-06-1.24e-05)","5.24e-07 (0-1.57e-06)","0.16 (0.14-0.2)",NA
"Aphelandra sinclairiana",2015,"1980 - 1985","0.000495 (0.000183-0.00088)",NA,NA,"0.000165 (7.6e-05-0.000264)",NA,NA,"0.2 (0.2-0.2)",NA
"Appunia seibertii",1985,"1985 - 1990","0.000111 (0.000111-0.000111)","3.42e-05 (3.42e-05-3.42e-05)","2.09e-05 (2.09e-05-2.09e-05)","4.24e-05 (4.24e-05-4.24e-05)","1.09e-05 (1.09e-05-1.09e-05)","8.02e-06 (8.02e-06-8.02e-06)","0.02 (0.02-0.02)",NA
"Appunia seibertii",1990,"1990 - 1995","0.000181 (0.000181-0.000181)","5.2e-05 (5.2e-05-5.2e-05)","3.65e-05 (3.65e-05-3.65e-05)","5.77e-05 (5.77e-05-5.77e-05)","1.48e-05 (1.48e-05-1.48e-05)","1.12e-05 (1.12e-05-1.12e-05)","0.06 (0.06-0.06)",NA
"Appunia seibertii",1995,"1995 - 2000","0.000254 (0.000254-0.000254)","2.88e-06 (2.88e-06-2.88e-06)","4.33e-07 (4.33e-07-4.33e-07)","7.51e-05 (7.51e-05-7.51e-05)","1.23e-06 (1.23e-06-1.23e-06)","3.16e-07 (3.16e-07-3.16e-07)","0.06 (0.06-0.06)",NA
"Appunia seibertii",2000,"2000 - 2005","0.000267 (0.000267-0.000267)","1.16e-07 (1.16e-07-1.16e-07)","5e-05 (5e-05-5e-05)","7.97e-05 (7.97e-05-7.97e-05)","1.92e-07 (1.92e-07-1.92e-07)","1.45e-05 (1.45e-05-1.45e-05)","0.06 (0.06-0.06)",NA
"Appunia seibertii",2005,"2005 - 2010","1.22e-05 (1.22e-05-1.22e-05)","4.29e-07 (4.29e-07-4.29e-07)","0 (0-0)","6.66e-06 (6.66e-06-6.66e-06)","1.82e-07 (1.82e-07-1.82e-07)","0 (0-0)","0.04 (0.04-0.04)",NA
"Appunia seibertii",2010,"2010 - 2015","1.44e-05 (1.44e-05-1.44e-05)","9.34e-07 (9.34e-07-9.34e-07)","0 (0-0)","7.57e-06 (7.57e-06-7.57e-06)","6.6e-07 (6.6e-07-6.6e-07)","0 (0-0)","0.04 (0.04-0.04)",NA
"Appunia seibertii",2015,"1980 - 1985","1.93e-05 (1.93e-05-1.93e-05)",NA,NA,"1.1e-05 (1.1e-05-1.1e-05)",NA,NA,"0.08 (0.08-0.08)",NA
"Ardisia bartlettii",1985,"1985 - 1990","1.59e-05 (6.09e-06-2.38e-05)","0 (0-0)","2.61e-06 (0-4.5e-06)","1.02e-05 (4.71e-06-1.53e-05)","0 (0-0)","1.63e-06 (0-2.9e-06)","0.06 (0.06-0.06)",NA
"Ardisia bartlettii",1990,"1990 - 1995","3.28e-06 (0-9.85e-06)","1.67e-06 (1.29e-06-2.09e-06)","6.82e-07 (0-2.05e-06)","2.26e-06 (0-6.79e-06)","1.21e-06 (9.97e-07-1.44e-06)","4.7e-07 (0-1.41e-06)","0.02 (0.02-0.02)",NA
"Ardisia bartlettii",1995,"1995 - 2000","7.92e-06 (2.61e-06-1.19e-05)","4.83e-06 (1.04e-06-9.76e-06)","0 (0-0)","5.73e-06 (1.9e-06-8.36e-06)","2.73e-06 (5.94e-07-5.65e-06)","0 (0-0)","0.06 (0.06-0.06)",NA
"Ardisia bartlettii",2000,"2000 - 2005","3.22e-05 (7.83e-06-6.21e-05)","1.37e-06 (-7.21e-07-3.27e-06)","2.43e-06 (5.14e-07-4.7e-06)","1.94e-05 (5.67e-06-3.71e-05)","9.19e-07 (-3.11e-07-1.94e-06)","1.55e-06 (3.76e-07-2.79e-06)","0.12 (0.08-0.2)",NA
"Ardisia bartlettii",2005,"2005 - 2010","2.68e-05 (5.22e-06-5.44e-05)","2.78e-06 (1.38e-06-3.96e-06)","1.41e-06 (0-4.23e-06)","1.62e-05 (3.8e-06-3.28e-05)","1.74e-06 (8.01e-07-2.42e-06)","8.12e-07 (0-2.44e-06)","0.1 (0.06-0.18)",NA
"Ardisia bartlettii",2010,"2010 - 2015","3.36e-05 (1.64e-05-5.08e-05)","8.4e-07 (-1.91e-07-2.71e-06)","6.23e-07 (0-1.87e-06)","2.08e-05 (1.07e-05-3.1e-05)","4.12e-07 (-5.65e-08-1.29e-06)","4.29e-07 (0-1.29e-06)","0.14 (0.08-0.2)",NA
"Ardisia bartlettii",2015,"1980 - 1985","3.45e-05 (1.48e-05-5.9e-05)",NA,NA,"2.06e-05 (9.24e-06-3.4e-05)",NA,NA,"0.12 (0.06-0.18)",NA
"Ardisia fendleri",1985,"1985 - 1990","0.00881 (0.00495-0.0137)","0.000481 (0.000197-0.00097)","0.000481 (9.28e-05-0.00119)","0.00219 (0.00137-0.00308)","0.000158 (8.28e-05-0.000274)","0.00012 (4.06e-05-0.000261)","1.56 (1.28-1.96)","0.02 (0.02-0.02)"
"Ardisia fendleri",1990,"1990 - 1995","0.00896 (0.00541-0.0127)","0.000806 (0.000383-0.00135)","0.000842 (0.000332-0.00147)","0.00244 (0.00165-0.00329)","0.000225 (0.000119-0.000362)","0.000225 (0.000103-0.000372)","1.62 (1.28-2.08)",NA
"Ardisia fendleri",1995,"1995 - 2000","0.00882 (0.00573-0.0124)","0.000837 (0.000408-0.00137)","0.000847 (0.000384-0.0015)","0.00245 (0.00171-0.00329)","0.000249 (0.000132-0.000375)","0.000235 (0.000119-0.00039)","1.68 (1.42-2.02)",NA
"Ardisia fendleri",2000,"2000 - 2005","0.00878 (0.00575-0.0124)","0.00099 (0.000522-0.00156)","0.000873 (0.000406-0.00145)","0.00252 (0.00174-0.00333)","0.000292 (0.000167-0.000439)","0.000256 (0.000129-0.000391)","1.96 (1.64-2.34)",NA
"Ardisia fendleri",2005,"2005 - 2010","0.00937 (0.00557-0.0135)","0.000892 (0.00047-0.00153)","0.000898 (0.00043-0.00152)","0.00271 (0.00181-0.00364)","0.000284 (0.000168-0.000442)","0.000273 (0.000153-0.000416)","2.04 (1.74-2.4)",NA
"Ardisia fendleri",2010,"2010 - 2015","0.00934 (0.00579-0.0136)","0.000282 (0.000176-0.000405)","0.000235 (7.24e-05-0.000444)","0.00276 (0.00186-0.00383)","9.41e-05 (6.82e-05-0.000124)","7.12e-05 (2.84e-05-0.000128)","2.22 (1.88-2.64)",NA
"Ardisia fendleri",2015,"1980 - 1985","0.00953 (0.00597-0.0139)",NA,NA,"0.00286 (0.00195-0.00388)",NA,NA,"2.68 (2.34-3.16)","0.04 (0.04-0.04)"
"Ardisia guianensis",1985,"1985 - 1990","0.000165 (9.11e-05-0.00025)","3.33e-05 (4.96e-06-7.98e-05)","9.99e-06 (1.25e-06-2.16e-05)","8.21e-05 (5.18e-05-0.00012)","1.66e-05 (2.04e-06-3.89e-05)","5.11e-06 (9.33e-07-1.07e-05)","0.32 (0.22-0.42)",NA
"Ardisia guianensis",1990,"1990 - 1995","0.000328 (0.000135-0.000579)","3.98e-05 (9.96e-06-7.48e-05)","3.3e-05 (4.25e-06-8.08e-05)","0.000158 (6.71e-05-0.000283)","1.75e-05 (4.83e-06-3.3e-05)","1.61e-05 (2.42e-06-3.89e-05)","0.36 (0.24-0.52)",NA
"Ardisia guianensis",1995,"1995 - 2000","0.000361 (0.000158-0.000609)","2.92e-05 (4.28e-06-6.61e-05)","3.87e-05 (8.9e-06-7.54e-05)","0.000165 (7.4e-05-0.000261)","1.4e-05 (2.1e-06-3.03e-05)","1.79e-05 (5.08e-06-3.47e-05)","0.36 (0.22-0.52)",NA
"Ardisia guianensis",2000,"2000 - 2005","0.000315 (0.000106-0.000584)","2.75e-05 (1.3e-05-4.4e-05)","2.08e-05 (2.45e-06-4.34e-05)","0.000146 (5.57e-05-0.000253)","1.23e-05 (5.77e-06-1.95e-05)","1.04e-05 (1.04e-06-2.12e-05)","0.36 (0.18-0.58)",NA
"Ardisia guianensis",2005,"2005 - 2010","0.000348 (0.000142-6e-04)","3.58e-05 (4.41e-06-8.11e-05)","4.42e-05 (8.39e-07-8.83e-05)","0.000155 (6.73e-05-0.000259)","1.66e-05 (2.63e-06-3.66e-05)","1.93e-05 (6.28e-07-4.08e-05)","0.34 (0.2-0.5)",NA
"Ardisia guianensis",2010,"2010 - 2015","0.000307 (0.000122-0.000563)","1.5e-05 (5.51e-06-2.86e-05)","2.19e-05 (1.64e-06-6.02e-05)","0.000142 (6.35e-05-0.000262)","7.95e-06 (3.62e-06-1.44e-05)","1.02e-05 (8.78e-07-2.72e-05)","0.3 (0.24-0.38)",NA
"Ardisia guianensis",2015,"1980 - 1985","0.00027 (0.000148-0.00044)",NA,NA,"0.00013 (7.67e-05-0.000204)",NA,NA,"0.38 (0.3-0.48)",NA
"Aspidosperma cruentum",1985,"1985 - 1990","1.78 (0.939-2.77)","0.0652 (0.0353-0.1)","0.00862 (0.000284-0.0221)","0.135 (0.0815-0.213)","0.00456 (0.00273-0.00667)","0.000863 (9.2e-05-0.00198)","9.44 (8.66-10.2)","1 (1-1)"
"Aspidosperma cruentum",1990,"1990 - 1995","2.02 (1.08-3.2)","0.0586 (0.0339-0.0845)","0.00125 (0.000361-0.00243)","0.152 (0.0849-0.226)","0.00413 (0.00268-0.00596)","0.000247 (0.000114-0.000427)","9.4 (8.74-10.2)","1.04 (1-1.1)"
"Aspidosperma cruentum",1995,"1995 - 2000","2.27 (1.26-3.54)","0.076 (0.0436-0.114)","0.00108 (0.000224-0.00237)","0.169 (0.101-0.255)","0.0051 (0.00312-0.00735)","0.000209 (6.88e-05-0.000401)","9.26 (8.58-10)","1.02 (0.98-1.08)"
"Aspidosperma cruentum",2000,"2000 - 2005","2.64 (1.44-3.96)","0.0694 (0.0423-0.0998)","0.00366 (0.000563-0.00967)","0.193 (0.116-0.285)","0.0048 (0.00322-0.00669)","0.000482 (0.000148-0.00103)","9.44 (8.8-10.1)","1.12 (1.08-1.18)"
"Aspidosperma cruentum",2005,"2005 - 2010","2.83 (1.69-4.3)","0.0822 (0.0548-0.115)","0.00131 (0.000214-0.00338)","0.207 (0.129-0.292)","0.00571 (0.00396-0.00754)","0.000216 (6.98e-05-0.000467)","9.32 (8.68-9.98)","1.12 (1.08-1.18)"
"Aspidosperma cruentum",2010,"2010 - 2015","3.18 (1.96-4.76)","0.114 (0.074-0.158)","0.0499 (0.00076-0.145)","0.231 (0.146-0.325)","0.00765 (0.00502-0.0102)","0.00343 (0.000159-0.01)","9.26 (8.6-9.94)","1.2 (1.16-1.26)"
"Aspidosperma cruentum",2015,"1980 - 1985","3.49 (2.17-5.11)",NA,NA,"0.252 (0.162-0.352)",NA,NA,"9.82 (9.22-10.5)","1.24 (1.2-1.3)"
"Astrocaryum standleyanum",1985,"1985 - 1990","0.239 (0.222-0.256)","0.00253 (0.00116-0.00429)","0.00446 (0.00271-0.00638)","0.0647 (0.0597-0.0697)","0.000686 (0.000264-0.00116)","0.00121 (0.000682-0.0018)","4.64 (4.36-4.98)","4.64 (4.36-4.96)"
"Astrocaryum standleyanum",1990,"1990 - 1995","0.228 (0.215-0.244)","0 (0-0)","0.00388 (0.00195-0.00627)","0.062 (0.0581-0.0661)","0 (0-0)","0.00105 (0.000526-0.00164)","4.42 (4.16-4.7)","4.42 (4.16-4.72)"
"Astrocaryum standleyanum",1995,"1995 - 2000","0.21 (0.198-0.224)","0.000411 (0-0.00103)","0.0039 (0.00226-0.00557)","0.057 (0.0536-0.0606)","0.000111 (0-0.000279)","0.00106 (0.000665-0.00151)","4.1 (3.86-4.36)","4.1 (3.88-4.34)"
"Astrocaryum standleyanum",2000,"2000 - 2005","0.193 (0.181-0.205)","0 (0-0)","0.00448 (0.00266-0.00652)","0.0522 (0.0492-0.0556)","0 (0-0)","0.00122 (0.000718-0.00177)","3.76 (3.56-4)","3.76 (3.54-4.02)"
"Astrocaryum standleyanum",2005,"2005 - 2010","0.169 (0.16-0.179)","0.000205 (0-0.000614)","0.00309 (0.00165-0.00454)","0.0458 (0.0436-0.0486)","5.55e-05 (0-0.000167)","0.000839 (0.000448-0.00129)","3.3 (3.12-3.5)","3.3 (3.12-3.5)"
"Astrocaryum standleyanum",2010,"2010 - 2015","0.156 (0.148-0.166)","0 (0-0)","0.00377 (0.00238-0.00537)","0.0422 (0.0397-0.045)","0 (0-0)","0.00102 (0.000643-0.00146)","3.04 (2.88-3.24)","3.04 (2.88-3.22)"
"Astrocaryum standleyanum",2015,"1980 - 1985","0.136 (0.129-0.144)",NA,NA,"0.037 (0.035-0.0395)",NA,NA,"2.66 (2.52-2.82)","2.66 (2.52-2.82)"
"Astronium graveolens",1985,"1985 - 1990","1.17 (0.655-1.8)","0.0383 (0.0212-0.057)","0.0133 (5.1e-06-0.0389)","0.0818 (0.0527-0.117)","0.00239 (0.00144-0.0034)","0.000937 (1.79e-06-0.00269)","1.3 (1.2-1.4)","0.78 (0.74-0.84)"
"Astronium graveolens",1990,"1990 - 1995","1.31 (0.715-1.99)","0.0234 (0.0122-0.0352)","0.00143 (7.82e-06-0.00414)","0.0894 (0.0543-0.129)","0.00162 (0.00094-0.00242)","0.000163 (2.09e-06-0.000461)","1.44 (1.32-1.6)","0.78 (0.74-0.84)"
"Astronium graveolens",1995,"1995 - 2000","1.36 (0.778-2.05)","0.02 (0.0121-0.0283)","0.0581 (0.00079-0.154)","0.0936 (0.0578-0.138)","0.00134 (0.000896-0.00187)","0.00355 (0.000104-0.0091)","1.54 (1.4-1.7)","0.84 (0.78-0.92)"
"Astronium graveolens",2000,"2000 - 2005","1.16 (0.682-1.74)","0.0234 (0.0137-0.0345)","0.00467 (0.000243-0.0113)","0.0818 (0.0537-0.118)","0.00153 (0.000967-0.00222)","0.000455 (5.74e-05-0.00104)","1.54 (1.4-1.7)","0.78 (0.72-0.86)"
"Astronium graveolens",2005,"2005 - 2010","1.25 (0.724-1.87)","0.0329 (0.0198-0.0486)","0.0184 (0.00019-0.0506)","0.0872 (0.0538-0.125)","0.00217 (0.00131-0.0032)","0.00132 (3.23e-05-0.00356)","1.92 (1.74-2.1)","0.76 (0.74-0.8)"
"Astronium graveolens",2010,"2010 - 2015","1.26 (0.769-1.82)","0.0227 (0.0129-0.0347)","0.025 (2.18e-05-0.0719)","0.0879 (0.0563-0.123)","0.00147 (0.000888-0.00214)","0.00163 (6.05e-06-0.00473)","2.32 (2.1-2.56)","0.78 (0.74-0.84)"
"Astronium graveolens",2015,"1980 - 1985","1.24 (0.732-1.83)",NA,NA,"0.0869 (0.0539-0.123)",NA,NA,"2.68 (2.42-2.98)","0.74 (0.68-0.82)"
"Attalea rostrata",1985,"1985 - 1990","0.718 (0.646-0.79)","0.00682 (0-0.0171)","0.0203 (0.00681-0.0371)","0.0893 (0.0804-0.0982)","0.000848 (0-0.00213)","0.00253 (0.000839-0.00464)","0.8 (0.76-0.86)","0.8 (0.76-0.86)"
"Attalea rostrata",1990,"1990 - 1995","0.646 (0.628-0.682)","0.000397 (0-0.00119)","0.0114 (0-0.0266)","0.0804 (0.0781-0.0848)","4.22e-05 (0-0.000127)","0.00142 (0-0.00331)","0.72 (0.7-0.76)","0.72 (0.7-0.76)"
"Attalea rostrata",1995,"1995 - 2000","0.592 (0.52-0.646)","0.00714 (0-0.0178)","0.018 (0.00361-0.0358)","0.0737 (0.067-0.0804)","0.000888 (0-0.00222)","0.00224 (0.000449-0.00405)","0.66 (0.64-0.7)","0.66 (0.64-0.7)"
