"Species","Census year","Census interval","AGB","AWP","AWM","BA","BAP","BAM","N","N10"
"Pterocarpus officinalis",2015,"1980 - 1985","0.000297 (0.000297-0.000297)",NA,NA,"0.000103 (0.000103-0.000103)",NA,NA,"0.02 (0.02-0.02)",NA
"Quararibea asterolepis",1985,"1985 - 1990","18 (14.8-21.7)","0.538 (0.442-0.633)","0.346 (0.194-0.514)","2.17 (1.83-2.54)","0.0602 (0.0507-0.0702)","0.0393 (0.0222-0.0574)","47.6 (45.4-49.9)","13.8 (13.1-14.5)"
"Quararibea asterolepis",1990,"1990 - 1995","16.2 (14.3-18.5)","0.176 (0.123-0.233)","0.241 (0.138-0.378)","2.02 (1.78-2.27)","0.0234 (0.0175-0.03)","0.0292 (0.0171-0.0441)","46.5 (44.3-48.8)","14 (13.3-14.6)"
"Quararibea asterolepis",1995,"1995 - 2000","15.1 (13.2-17)","0.263 (0.213-0.323)","0.253 (0.158-0.375)","1.92 (1.71-2.14)","0.0314 (0.0262-0.0371)","0.0312 (0.0192-0.0453)","45.2 (42.9-47.5)","14.3 (13.7-15.1)"
"Quararibea asterolepis",2000,"2000 - 2005","15.6 (13.6-17.6)","0.217 (0.188-0.256)","0.288 (0.176-0.42)","1.96 (1.74-2.21)","0.0273 (0.0237-0.0314)","0.035 (0.0224-0.05)","43.9 (41.8-46.2)","14.4 (13.7-15.1)"
"Quararibea asterolepis",2005,"2005 - 2010","13.6 (12-15.4)","0.242 (0.205-0.286)","0.211 (0.12-0.33)","1.76 (1.57-1.96)","0.0304 (0.0263-0.0351)","0.0261 (0.0151-0.04)","42.4 (40.2-44.7)","14.2 (13.6-14.9)"
"Quararibea asterolepis",2010,"2010 - 2015","13.4 (11.8-15.2)","0.23 (0.203-0.258)","0.151 (0.0946-0.218)","1.74 (1.56-1.93)","0.0288 (0.0258-0.0321)","0.0199 (0.012-0.0283)","43 (40.8-45.6)","14.6 (13.9-15.3)"
"Quararibea asterolepis",2015,"1980 - 1985","13.7 (12.1-15.4)",NA,NA,"1.77 (1.59-1.98)",NA,NA,"45 (42.3-47.7)","14.7 (14.1-15.4)"
"Quassia amara",1985,"1985 - 1990","0.0279 (0.0223-0.0336)","0.00137 (0.000976-0.00181)","0.00125 (0.000649-0.00196)","0.00842 (0.00709-0.00995)","0.000445 (0.000306-0.000581)","0.000393 (0.00024-0.00059)","3.12 (2.78-3.48)","0.16 (0.16-0.16)"
"Quassia amara",1990,"1990 - 1995","0.0287 (0.0231-0.0344)","0.00114 (0.000638-0.00174)","0.0016 (0.001-0.00231)","0.0088 (0.00739-0.0103)","0.000404 (0.000248-0.000585)","0.00052 (0.000333-0.00073)","2.92 (2.64-3.24)","0.1 (0.1-0.1)"
"Quassia amara",1995,"1995 - 2000","0.0266 (0.0218-0.0318)","0.00128 (0.000766-0.00191)","0.00156 (0.000869-0.00231)","0.00825 (0.00702-0.00952)","0.00042 (0.000252-0.000622)","0.000504 (0.000303-0.000728)","2.8 (2.52-3.12)","0.08 (0.08-0.08)"
"Quassia amara",2000,"2000 - 2005","0.0252 (0.0208-0.0302)","0.000995 (0.000505-0.00162)","0.00141 (0.000809-0.00219)","0.00783 (0.00653-0.00924)","0.00033 (0.000171-0.00052)","0.000464 (0.000276-0.000674)","2.66 (2.42-2.92)","0.1 (0.1-0.1)"
"Quassia amara",2005,"2005 - 2010","0.0231 (0.0185-0.028)","0.00109 (0.000528-0.0018)","0.00127 (0.000697-0.00192)","0.00716 (0.00588-0.0084)","0.000354 (0.000192-0.000582)","0.000416 (0.000251-0.000596)","2.38 (2.14-2.64)","0.12 (0.12-0.12)"
"Quassia amara",2010,"2010 - 2015","0.0222 (0.0174-0.0274)","0.000334 (0.000221-0.000464)","0.000589 (0.000266-0.000963)","0.00686 (0.00556-0.00833)","0.000108 (6.93e-05-0.000153)","0.00019 (9.93e-05-0.000297)","2.3 (2.08-2.56)","0.12 (0.12-0.12)"
"Quassia amara",2015,"1980 - 1985","0.0208 (0.0162-0.0258)",NA,NA,"0.00641 (0.00514-0.00779)",NA,NA,"2.26 (2.04-2.54)","0.14 (0.14-0.14)"
"Randia armata",1985,"1985 - 1990","0.658 (0.573-0.749)","0.0189 (0.0155-0.0239)","0.0202 (0.0128-0.0284)","0.106 (0.0936-0.118)","0.00313 (0.00259-0.00376)","0.00314 (0.0022-0.00411)","23.3 (22.2-24.4)","4.6 (4.28-4.94)"
"Randia armata",1990,"1990 - 1995","0.65 (0.57-0.736)","0.015 (0.0122-0.0183)","0.015 (0.00957-0.021)","0.106 (0.0937-0.119)","0.00244 (0.00201-0.00293)","0.00251 (0.00166-0.00335)","22.9 (21.9-24)","4.64 (4.36-4.92)"
"Randia armata",1995,"1995 - 2000","0.653 (0.569-0.743)","0.0149 (0.0124-0.018)","0.0176 (0.0111-0.025)","0.106 (0.0935-0.118)","0.00237 (0.00194-0.00282)","0.00287 (0.00205-0.00376)","22.1 (21.2-23)","4.84 (4.5-5.16)"
"Randia armata",2000,"2000 - 2005","0.64 (0.558-0.726)","0.0156 (0.0127-0.0189)","0.0156 (0.0103-0.0216)","0.103 (0.0921-0.115)","0.00242 (0.00202-0.00287)","0.00253 (0.00179-0.00337)","20.3 (19.3-21.2)","4.82 (4.56-5.1)"
"Randia armata",2005,"2005 - 2010","0.638 (0.556-0.722)","0.0148 (0.0119-0.018)","0.0166 (0.0101-0.0235)","0.103 (0.0917-0.114)","0.00235 (0.00189-0.00286)","0.00258 (0.00173-0.00354)","19.3 (18.5-20.1)","4.78 (4.5-5.06)"
"Randia armata",2010,"2010 - 2015","0.629 (0.552-0.714)","0.012 (0.0101-0.0141)","0.0157 (0.0104-0.022)","0.101 (0.0904-0.113)","0.0018 (0.00156-0.00207)","0.00245 (0.00175-0.00335)","19 (18.3-19.9)","4.64 (4.4-4.88)"
"Randia armata",2015,"1985 - 1990","0.61 (0.536-0.692)",NA,NA,"0.0981 (0.0871-0.11)",NA,NA,"18.8 (18.1-19.6)","4.4 (4.2-4.6)"
"Rauvolfia littoralis",1990,"1990 - 1995","0 (0-0)","3.42e-07 (3.42e-07-3.42e-07)","0 (0-0)","0 (0-0)","3.32e-07 (3.32e-07-3.32e-07)","0 (0-0)",NA,NA
"Rauvolfia littoralis",1995,"1995 - 2000","1.62e-06 (1.62e-06-1.62e-06)","2.23e-06 (2.23e-06-2.23e-06)","0 (0-0)","1.57e-06 (1.57e-06-1.57e-06)","1.21e-06 (1.21e-06-1.21e-06)","0 (0-0)","0.02 (0.02-0.02)",NA
"Rauvolfia littoralis",2000,"2000 - 2005","1.28e-05 (1.28e-05-1.28e-05)","0 (0-0)","0 (0-0)","7.6e-06 (7.6e-06-7.6e-06)","0 (0-0)","0 (0-0)","0.02 (0.02-0.02)",NA
"Rauvolfia littoralis",2005,"2005 - 2010","1.28e-05 (1.28e-05-1.28e-05)","0 (0-0)","0 (0-0)","7.6e-06 (7.6e-06-7.6e-06)","0 (0-0)","0 (0-0)","0.02 (0.02-0.02)",NA
"Rauvolfia littoralis",2010,"2010 - 2015","1.28e-05 (1.28e-05-1.28e-05)","3.15e-07 (3.15e-07-3.15e-07)","0 (0-0)","7.6e-06 (7.6e-06-7.6e-06)","1.41e-07 (1.41e-07-1.41e-07)","0 (0-0)","0.02 (0.02-0.02)",NA
"Rauvolfia littoralis",2015,"1980 - 1985","1.44e-05 (1.44e-05-1.44e-05)",NA,NA,"8.31e-06 (8.31e-06-8.31e-06)",NA,NA,"0.02 (0.02-0.02)",NA
"Rinorea sylvatica",1985,"1985 - 1990","0.0572 (0.0476-0.0671)","0.00401 (0.0034-0.00475)","0.0028 (0.0022-0.00357)","0.0204 (0.0175-0.0235)","0.00151 (0.00127-0.00179)","0.00101 (0.000826-0.00121)","52.3 (45.9-59)",NA
"Rinorea sylvatica",1990,"1990 - 1995","0.0711 (0.061-0.0823)","0.00342 (0.00273-0.00412)","0.00415 (0.00328-0.00513)","0.0254 (0.0219-0.0292)","0.00128 (0.00107-0.00152)","0.00156 (0.00129-0.00189)","51.1 (45.2-58)",NA
